"Marca temporal"                  ,"¿Qué edad tienes?" ,"Provincia de Residencia" ,"En caso de residir en la Habana, ¿puede especificar el municipio?" ,"Creencia religiosa"       ,"¿Qué situación te describe mejor?" ,"Orientación sexual" ,"Sexo asignado al nacer:" ,"Identidad de género:"                            ,"Nivel Académico"                      ,"A tu opinión, ¿qué tan generalizado está el lenguaje ofensivo hacia personas de la comunidad LGBTIQ+?" ,"¿Qué tan frecuente se ven parejas del mismo sexo caminando de la mano en público?" ,"¿Qué tan frecuente se ven parejas heterosexuales caminando de la mano en público?" ,"¿Es necesaria la capacitación de funcionarios públicos (por ejemplo: policías, maestros, etc) sobre los derechos de las personas LGBTIQ+?" ,"¿Es necesario abordar temas sobre orientación sexual e identidad de género en la etapa escolar?" ,"¿Consideras que la comunidad LGBTIQ+ está sobre-sexualizada?" ,"Sobre su respuesta anterior, explique el porqué de su selección. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"¿Es necesario la celebración del Orgullo en Cuba?" ,"¿Los subgrupos L,G,B deberían ser separados de TQI+?" ,"Sobre su respuesta anterior, explique el porqué de su selección."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"¿Es difícil encontrar una pareja monógama en la comunidad LGBTIQ+?" ,"¿Ha sido víctima de agresión, en su sentido más general, por su orientación sexual/ identidad de género?" ,"En caso positivo de la pregunta anterior, ¿podría especificar en que contexto?"                     ,"¿Te harían sentir cómodo políticas antidiscriminatorias referidas a la orientación sexual/identidad de género en el lugar de trabajo?" ,"¿Vives abiertamente tu orientación sexual/identidad de género?" ,"¿Los shows de Drag son aptos para toda la población (menores incluidos)?" ,"¿Qué tan representativas son las redes sociales y app de citas, en tu vida sentimental y sexual?" ,"¿Qué tan desagradable calificaría su experiencia en Apps de citas? en una escala del 1 al 10." ,"¿Por qué?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"En lo correspondiente a su orientación sexual/ identidad de género, ¿qué tan satisfecho se encuentra con su vida? en una escala del 1 al 10." ,""
"2024/03/09 12:26:42 p. m. GMT-4" ,"21"                ,"La Habana"               ,"Diez de Octubre"                                                   ,"Ateísmo"                  ,"Viviendo con pareja/cónyuge."      ,"Bisexual."          ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(3) Generalizado"                                                                                      ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación secundaria."                                                                 ,"No, la comunidad es más que solo sexo."                       ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Es bastante sencillo."                                              ,"Si, agresión verbal."                                                                                     ,"Contexto académico.;En un lugar público."                                                           ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"De acuerdo."                                                              ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:27:42 p. m. GMT-4" ,"19"                ,"La Habana"               ,"Playa"                                                             ,"Otra"                     ,"No estoy en una relación."         ,"Heterosexual."      ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Técnico Medio"                        ,"(2) Poco generalizado"                                                                                 ,"(3) A veces"                                                                       ,"(2) Muy frecuentemente"                                                            ,"No tengo una opinión formada."                                                                                                             ,"Sí, en la educación media-superior y técnica."                                                   ,"No tengo una opinión formada."                                ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es necesario, pero no me molestaría."           ,"No tiene sentido tal separación."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No es tan dificil, solo hay que buscar en el lugar correcto."       ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Está bien actualmente."                                                                                                                ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:30:18 p. m. GMT-4" ,"22"                ,"La Habana"               ,"Habana del Este"                                                   ,"Ateísmo"                  ,"No estoy en una relación."         ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(2) Poco generalizado"                                                                                 ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"No lo considero apropiado."                                                                      ,"No tengo una opinión formada."                                ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No tengo una opinión formada."                     ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"No suelo quedar con personas que conozco online."                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:34:46 p. m. GMT-4" ,"21"                ,"Mayabeque"               ,""                                                                  ,"Ateísmo"                  ,"Viviendo con pareja/cónyuge."      ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(4) Muy Generalizado"                                                                                  ,"(4) Rara vez"                                                                      ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación primaria."                                                                   ,"No tengo una opinión formada."                                ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"Muy de acuerdo."                                                          ,"Algunas de mis relaciones/encuentros las he conocido online"                                      ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:35:48 p. m. GMT-4" ,"22"                ,"Santiago de Cuba"        ,""                                                                  ,"Otra"                     ,"No estoy en una relación."         ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(2) Poco generalizado"                                                                                 ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"De acuerdo."                                                                                                                               ,"Sí, en la educación secundaria."                                                                 ,"No, la comunidad es más que solo sexo."                       ,"Porque simplemente por ser homosexual o cualquier otra denominación de la ""Comunidad"" no te quita lo humano, lo profesional que puede llegar a ser cualquier persona independientemente de su identidad, inclinación y prácticas sexuales."                                                                                                                                                                                                                                                                                                                                                                                                                               ,"No es para nada necesario."                        ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Está bien actualmente."                                                                                                                ,"Abiertamente, sin filtros"                                      ,"Muy en desacuerdo."                                                       ,"Algunas de mis relaciones/encuentros las he conocido online"                                      ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:36:15 p. m. GMT-4" ,"21"                ,"La Habana"               ,"Arroyo Naranjo"                                                    ,"Ateísmo"                  ,"En una relación sin vivir juntos"  ,"Bisexual."          ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(3) Generalizado"                                                                                      ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación secundaria."                                                                 ,"Sí, totalmente de acuerdo."                                   ,"Siempre piensan q son promiscuos"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es necesario, pero no me molestaría."           ,"Si, deberían ser separados."                          ,"Orientación sexual e identidad de género no es lo mismo"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"No es tan dificil, solo hay que buscar en el lugar correcto."       ,"Si, agresión verbal."                                                                                     ,"Contexto académico.;Amigos y relaciones."                                                           ,"Muy de acuerdo."                                                                                                                       ,"Selectivamente abierta."                                        ,"En desacuerdo."                                                           ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:39:57 p. m. GMT-4" ,"21"                ,"La Habana"               ,"Playa"                                                             ,"Agnósticismo"             ,"No estoy en una relación."         ,"Sin definir."       ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(4) Muy Generalizado"                                                                                  ,"(3) A veces"                                                                       ,"(2) Muy frecuentemente"                                                            ,"De acuerdo."                                                                                                                               ,"Sí, en la educación media-superior y técnica."                                                   ,"Sí, totalmente de acuerdo."                                   ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es necesario, pero no me molestaría."           ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"Algunas de mis relaciones/encuentros las he conocido online"                                      ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"8"                                                                                                                                            ,""
"2024/03/09 12:44:56 p. m. GMT-4" ,"22"                ,"La Habana"               ,"Plaza de La Revolución"                                            ,"Ateísmo"                  ,"No estoy en una relación."         ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(1) Nada generalizado"                                                                                 ,"(2) Muy frecuentemente"                                                            ,"(1) Todo el tiempo"                                                                ,"En desacuerdo."                                                                                                                            ,"Sí, en la educación media-superior y técnica."                                                   ,"Sí, totalmente de acuerdo."                                   ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es para nada necesario."                        ,"Si, deberían ser separados."                          ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"No tengo una opinión formada."                                                                                                         ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:47:53 p. m. GMT-4" ,"21"                ,"La Habana"               ,"Boyeros"                                                           ,"Ateísmo"                  ,"En una relación sin vivir juntos"  ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(3) Generalizado"                                                                                      ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"De acuerdo."                                                                                                                               ,"Sí, en la educación media-superior y técnica."                                                   ,"Tal vez."                                                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es necesario, pero no me molestaría."           ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Está bien actualmente."                                                                                                                ,"Abiertamente, sin filtros"                                      ,"De acuerdo."                                                              ,"No suelo quedar con personas que conozco online."                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:49:50 p. m. GMT-4" ,"21"                ,"La Habana"               ,"Playa"                                                             ,"Otra"                     ,"No estoy en una relación."         ,"Sin definir."       ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(3) Generalizado"                                                                                      ,"(4) Rara vez"                                                                      ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación secundaria."                                                                 ,"No, la comunidad es más que solo sexo."                       ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tiene sentido tal separación."                     ,"Considero que existen demasiados prejuicios y violaciones de derechos hacia los integrantes del colectivo; como que para además se dividan entre ellos mismos y se excluyan. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"Es bastante sencillo."                                              ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"De acuerdo."                                                              ,"No suelo quedar con personas que conozco online."                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"8"                                                                                                                                            ,""
"2024/03/09 12:51:05 p. m. GMT-4" ,"21"                ,"La Habana"               ,"San Miguel del Padron"                                             ,"Otra"                     ,"No estoy en una relación."         ,"Heterosexual."      ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(3) Generalizado"                                                                                      ,"(3) A veces"                                                                       ,"(2) Muy frecuentemente"                                                            ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación secundaria."                                                                 ,"Tal vez."                                                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es para nada necesario."                        ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"En desacuerdo."                                                                                                                        ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"No uso las redes en tal sentido."                                                                 ,"3"                                                                                             ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/09 12:53:13 p. m. GMT-4" ,"21"                ,"La Habana"               ,"Playa"                                                             ,"Ateísmo"                  ,"En una relación sin vivir juntos"  ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(3) Generalizado"                                                                                      ,"(4) Rara vez"                                                                      ,"(2) Muy frecuentemente"                                                            ,"No tengo una opinión formada."                                                                                                             ,"No lo considero apropiado."                                                                      ,"Tal vez."                                                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No tengo una opinión formada."                     ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Está bien actualmente."                                                                                                                ,"Abiertamente, sin filtros"                                      ,"En desacuerdo."                                                           ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
